timestamp,label_1,count_1,avg_conf_1,label_2,count_2,avg_conf_2,label_3,count_3,avg_conf_3
2025-05-05 00:43:00,person,4,0.67,car,1,0.77,bicycle,2,0.86
2025-05-05 18:05:00,person,5,0.93,car,4,0.59,bicycle,4,0.77
2025-05-05 00:56:00,bus,5,0.58,,,,,,
2025-05-05 06:05:00,stop sign,2,0.73,,,,,,
2025-05-05 15:31:00,bicycle,3,0.55,,,,,,
2025-05-05 11:57:00,motorcycle,2,0.98,,,,,,
2025-05-05 09:56:00,stop sign,3,0.72,person,4,0.95,dog,4,0.62
2025-05-05 23:22:00,bus,3,0.58,motorcycle,3,0.85,,,
2025-05-05 17:16:00,cat,4,0.58,,,,,,
2025-05-05 11:51:00,traffic light,3,0.97,stop sign,2,0.59,bicycle,3,0.88
